record_id,file,volume,issue,kind,article_title,author,pdf_pages,score,title_hits,danger,sanction,governance,child,exit,clinical,process_allegation,process_assessment,process_intervention,process_review,process_outcome,process_families_present
M-0622,recovered/corpus-v26-v28/vol26/iss2/015-review-of-the-church-universal-and-triumphant-elizabeth-clare-prophet-s-apocalyptic-message.txt,26,2,book_review,Review of The Church Universal and Triumphant: Elizabeth Clare Prophet's Apocalyptic Message,Holly Folk,3,7,0,0,0,4,0,0,1,1,0,1,3,1,4
M-0643,recovered/corpus-v26-v28/vol27/iss1/015-review-of-telling-our-stories-personal-accounts-of-engagement-with-scripture.txt,27,1,book_review,Review of Telling Our Stories: Personal Accounts of Engagement with Scripture,Joanna Wiebe,3,7,0,0,1,4,1,0,0,0,0,1,3,1,3
M-0626,recovered/corpus-v26-v28/vol26/iss2/019-review-of-fixing-tradition-joseph-w-yoder-amish-american.txt,26,2,book_review,"Review of Fixing Tradition: Joseph W. Yoder, Amish American",Joanna Wiebe,3,5,0,0,0,1,1,3,0,0,0,0,3,2,2
M-0641,recovered/corpus-v26-v28/vol27/iss1/013-review-of-memories-of-drop-city-the-first-hippie-commune-of-the-1960s-and-the-summer-of-love.txt,27,1,book_review,Review of Memories of Drop City: The First Hippie Commune of the 1960s and the Summer of Love,Timothy Miller,3,4,0,0,1,1,0,1,0,1,0,0,3,1,3
M-0655,recovered/corpus-v26-v28/vol28/iss1/011-review-of-rolling-down-black-stockings-a-passage-out-of-the-old-order-mennonite-religion.txt,28,1,book_review,Review of Rolling Down Black Stockings: A Passage Out of the Old Order Mennonite Religion,Ruth Baer Lambach,2,4,0,0,0,1,1,2,0,0,0,0,3,0,1
M-0621,recovered/corpus-v26-v28/vol26/iss2/014-review-of-the-distinctiveness-of-moravian-culture-essays-and-documents-in-moravian-history-in-honor-of-vernon.txt,26,2,book_review,Review of The Distinctiveness of Moravian Culture: Essays and Documents in Moravian History in Honor of Vernon H. Nelson on his Seventieth Birthday,Holly Folk,3,3,0,0,1,1,0,0,0,1,0,0,3,0,2
M-0658,recovered/corpus-v26-v28/vol28/iss1/014-a-biography-of-lillian-and-george-willoughby-twentieth-century-quaker-peace-activists.txt,28,1,article,"A Biography of Lillian and George Willoughby, Twentieth-Century Quaker Peace Activists",Timothy Miller,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0
M-0596,recovered/corpus-v26-v28/vol26/iss1/003-from-the-editor.txt,26,1,editorial,From the Editor,Rod Janzen,3,34,0,9,1,3,0,2,0,0,1,0,5,0,2
M-0595,recovered/corpus-v26-v28/vol26/iss1/002-contents.txt,26,1,contents,Contents,,4,30,0,8,1,2,0,2,0,0,0,0,0,0,0
M-0609,recovered/corpus-v26-v28/vol26/iss2/002-contents.txt,26,2,contents,Contents,,5,16,0,2,1,2,1,2,1,0,0,0,1,0,1
M-0629,recovered/corpus-v26-v28/vol27/iss1/001-front-matter.txt,27,1,front_matter,Front Matter,,4,13,0,0,2,5,0,1,1,0,1,2,2,0,3
M-0645,recovered/corpus-v26-v28/vol28/iss1/001-front-matter.txt,28,1,front_matter,Front Matter,,4,13,0,0,2,5,0,1,1,0,1,2,2,0,3
M-0660,recovered/corpus-v26-v28/vol28/iss2/001-front-matter.txt,28,2,front_matter,Front Matter,,4,13,0,0,2,5,0,1,1,0,1,2,2,0,3
M-0631,recovered/corpus-v26-v28/vol27/iss1/003-from-the-editor.txt,27,1,editorial,From the Editor,Rod Janzen,3,12,0,0,0,3,6,0,1,0,1,1,2,0,3
M-0594,recovered/corpus-v26-v28/vol26/iss1/001-front-matter.txt,26,1,front_matter,Front matter,,4,10,0,0,2,5,0,1,0,0,1,2,2,0,3
M-0608,recovered/corpus-v26-v28/vol26/iss2/001-front-matter.txt,26,2,front_matter,Front Matter,,4,10,0,0,2,5,0,1,0,0,1,2,2,0,3
M-0661,recovered/corpus-v26-v28/vol28/iss2/002-contents.txt,28,2,contents,Contents,,4,10,0,2,1,0,0,2,0,0,0,0,1,0,1
